Movie_Title,Release_Year,Production_Company_Name,Company_Name_(Wikipedia),Company_HQ,Company_Founded_Year
The Crime of Father Amaro,2002,Blu Films,Blu Films,,
The Crime of Father Amaro,2002,Wanda Films,Wanda Films,,
The Time Machine,2002,Parkes,Walter F. Parkes,,
The Time Machine,2002,MacDonald,Laurie MacDonald,,
The Time Machine,2002,[1],,,
The Wild Thornberrys,2002,Klasky Csupo,Klasky Csupo,"1238 North Highland AvenueLos Angeles, California90038[1]",1982
The Wild Thornberrys,2002,[1],,,
Treasure Planet,2002,Walt Disney Feature Animation,Walt Disney Animation Studios,"2100 West Riverside Drive, Burbank, California, U.S.",1923
Unfaithful,2002,Fox 2000 Pictures,Fox 2000 Pictures,"Century City, Los Angeles, United States",1994
Unfaithful,2002,Regency Enterprises,Regency Enterprises,"West Hollywood, California, U.S.London, EnglandLuxembourg City, Luxembourg[1]",1991
Why Can't We Be a Family Again?,2002,Public Policy Productions,Public Policy Productions,,
Y tu mamá también,2001,Producciones Anhelo,Producciones Anhelo,,
Zus & Zo,2001,Filmprodukties De Luwte,Filmprodukties De Luwte,,
Zus & Zo,2001,Cine Summer CV,Cine Summer CV,,
The Lord of the Rings: The Return of the King,2003,WingNut Films,WingNut Films,"Wellington, New Zealand",1987
The Lord of the Rings: The Return of the King,2003,[1],,,
The Lord of the Rings: The Return of the King,2003,New Line Cinema,New Line Cinema,"4000 Warner Blvd, Burbank, California, United States",1967
The Lord of the Rings: The Return of the King,2003,[1],,,
Master and Commander: The Far Side of the World,2003,20th Century Fox,20th Century Studios,"Fox Studio Lot Building 88, 10201 West Pico Boulevard, Century City, Los Angeles, California, United States",1935
Master and Commander: The Far Side of the World,2003,Miramax Films,Miramax,"Los Angeles, California, U.S.",1979
Master and Commander: The Far Side of the World,2003,Universal Pictures,Universal Pictures,"10 Universal City Plaza, Universal City, California, U.S.",1912
Master and Commander: The Far Side of the World,2003,Samuel Goldwyn Films,Samuel Goldwyn Films,"Culver City, California, U.S.",2000
Mystic River,2003,Village Roadshow Pictures,Village Roadshow Pictures,"Los Angeles, California, U.S.",1989
Mystic River,2003,Malpaso Productions,Malpaso Productions,"Burbank, California, United States",1967
Cold Mountain,2003,Mirage Enterprises,,,
Cold Mountain,2003,Castel Film Romania,,,
Cold Mountain,2003,Cattleya,Cattleya (production company),"Rome, Italy",1997
Finding Nemo,2003,Pixar Animation Studios,Pixar,"1200 Park Avenue, Emeryville, California, U.S.",1986
Lost in Translation,2003,American Zoetrope,American Zoetrope,"San Francisco, California, United States",1969
The Barbarian Invasions,2003,Canal+,Canal+ (French TV channel),"50 rue Camille Desmoulins, 92130, Issy-les-Moulineaux, France",
The Barbarian Invasions,2003,Telefilm Canada,Telefilm Canada,"Montreal, Quebec, Canada",1967
Chernobyl Heart,2003,Downtown Community Television Center,,,
Harvie Krumpet,2003,Australian Film Commission,Australian Film Commission,Australia,1975
Harvie Krumpet,2003,SBS Independent,,,
Harvie Krumpet,2003,Film Victoria,VicScreen,"Melbourne, Australia",
Monster,2003,Media 8 Entertainment,Bloom (company),"Los Angeles, California, United States",1993
Monster,2003,DEJ Productions,DEJ Productions,"Los Angeles, United States",1998
Monster,2003,Denver & Delilah Films,Denver and Delilah Productions,"Los Angeles, U.S.",2003
The Fog of War,2003,RadicalMedia,RadicalMedia,"New York City, with offices in Los Angeles, London, Berlin, and Shanghai",1993
Two Soldiers,2003,Shoe Clerk Picture Company,Shoe Clerk Picture Company,,
Seabiscuit,2003,DreamWorks Pictures,DreamWorks Pictures,"100 Universal City Plaza, Universal City, California, U.S.",1994
Seabiscuit,2003,Spyglass Entertainment,Spyglass Media Group,"Century City, Los Angeles, California, United States[1]",1998
Seabiscuit,2003,The Kennedy/Marshall Company,The Kennedy/Marshall Company,"Santa Monica, California, United States",1991
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Walt Disney Pictures,Walt Disney Pictures,"500 South Buena Vista Street, Burbank, California, U.S.",1923
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Jerry Bruckheimer Films,Jerry Bruckheimer Films,"Santa Monica, California, U.S.",1983
City of God,2002,Hank Levine,Hank Levine,,
City of God,2002,Globo Filmes,Globo Filmes,"Rio de Janeiro, RJ, Brazil",1998
City of God,2002,Studio Canal,StudioCanal,"Paris, France",1984
City of God,2002,[1],,,
City of God,2002,Wild Bunch,Wild Bunch (company),"Berlin, GermanyParis, France",1979
City of God,2002,[2],,,
The Last Samurai,2003,Warner Bros. Pictures,Warner Bros. Pictures,"4000 Warner Boulevard, Burbank, California, U.S.",1910
The Last Samurai,2003,[1],,,
The Last Samurai,2003,Radar Pictures,Radar Pictures,United States,2000
The Last Samurai,2003,[2],,,
The Last Samurai,2003,The Bedford Falls Company,Bedford Falls Productions,,1985
The Last Samurai,2003,[2],,,
The Last Samurai,2003,Cruise/Wagner Productions,Cruise/Wagner Productions,United States,1992
The Last Samurai,2003,[2],,,
The Last Samurai,2003,[2],,,
Girl with a Pearl Earring,2003,UK Film Council,UK Film Council,"London, England, UK",
Girl with a Pearl Earring,2003,[1],,,
House of Sand and Fog,2003,Bisgrove Entertainment,Bisgrove Entertainment,,
House of Sand and Fog,2003,Cobalt Media Group,Cobalt Media Group,,
In America,2002,Hell's Kitchen Films,Hell's Kitchen Films,,
In America,2002,East of Harlem (UK) Ltd.,East of Harlem (UK) Ltd.,,
21 Grams,2003,This is that,This Is That Productions,"New York City, U.S.A.",2002
The Triplets of Belleville,2003,Les Armateurs,,,
The Triplets of Belleville,2003,France 3 Cinéma,France 3,,
The Triplets of Belleville,2003,BBC Bristol,"Broadcasting House, Bristol",,
The Triplets of Belleville,2003,BBC Worldwide,BBC Worldwide,"Television Centre, London, England, United Kingdom",1979
A Mighty Wind,2003,Castle Rock Entertainment,Castle Rock Entertainment,"Beverly Hills, California, U.S.[1]",1987
American Splendor,2003,HBO Films,HBO Films,"Los Angeles, United States",1983
American Splendor,2003,Good Machine,Good Machine,"New York City, United States",1990
Big Fish,2003,Columbia Pictures,Columbia Pictures,"Thalberg Building, 10202 West Washington Boulevard, Culver City, California, U.S.",1918
Big Fish,2003,The Zanuck Company,The Zanuck Company,"Beverly Hills, California",1972
Boundin',2003,Pixar Animation Studios,Pixar,"1200 Park Avenue, Emeryville, California, U.S.",1986
Brother Bear,2003,Walt Disney Feature Animation,Walt Disney Animation Studios,"2100 West Riverside Drive, Burbank, California, U.S.",1923
Capturing the Friedmans,2003,HBO Documentary Films,HBO Films,"Los Angeles, United States",1983
Capturing the Friedmans,2003,Fortissimo Films,Fortissimo Films,"Amsterdam, Netherlands",1991
Destino,2003,Walt Disney Animation Studios,Walt Disney Animation Studios,"2100 West Riverside Drive, Burbank, California, U.S.",1923
Destino,2003,1,,,
Dirty Pretty Things,2002,BBC Films,BBC Film,"Broadcasting House, London, England",1990
Dirty Pretty Things,2002,Celador Films,Celador,"Long Acre, United Kingdom",1981
Evil,2003,Moviola,Moviola,,
Gone Nutty,2002,Blue Sky Studios,Blue Sky Studios,"Greenwich American CenterGreenwich, Connecticut, U.S.",1987
Gone Nutty,2002,20th Century Fox Animation,20th Century Animation,"Century City, Los Angeles, California, U.S.",1994
Nibbles,2003,Acme Filmworks,Acme Filmworks,,
Pieces of April,2003,IFC Productions,IFC Films,"New York, New York, United States",2000
Something's Gotta Give,2003,Columbia Pictures,Columbia Pictures,"Thalberg Building, 10202 West Washington Boulevard, Culver City, California, U.S.",1918
Something's Gotta Give,2003,Warner Bros. Pictures,Warner Bros. Pictures,"4000 Warner Boulevard, Burbank, California, U.S.",1910
Something's Gotta Give,2003,Waverly Films,Waverly Films,,
Squash,2002,Tétra Média,Tétra Média,,
The Cooler,2003,ContentFilm,ContentFilm,,
The Cooler,2003,Pierce/Williams Entertainment,Pierce/Williams Entertainment,,
The Cooler,2003,Furst Films,Furst Films,,
The Cooler,2003,Gryphon Films,Gryphon Films,,
The Cooler,2003,Dog Pond Productions,Dog Pond Productions,,
The Cooler,2003,Visionbox Pictures,Visionbox Pictures,,
The Cooler,2003,Zero Gravity Management,Zero Gravity Management,,
The Twilight Samurai,2002,Eisei Gekijo,Shochiku,"Tsukiji 4-1-1, Chūō, Tokyo, Japan",1895
The Twilight Samurai,2002,Hakuhodo,Hakuhodo,"Akasaka Biz Tower, 3-1, Akasaka, Minato, Tokyo, Japan",1895
The Twilight Samurai,2002,Nippon TV,Nippon Television,"6-1, Higashi-Shimbashi Itchome, Minato, Tokyo, Japan",1952
The Twilight Samurai,2002,Shochiku,Shochiku,"Tsukiji 4-1-1, Chūō, Tokyo, Japan",1895
The Twilight Samurai,2002,Sumitomo Corporation,Sumitomo Corporation,"East Tower 3-2 Otemachi 2-chome, Chiyoda-ku, Tokyo, Tokyo 100-8601, Japan",1919
Thirteen,2003,Working Title Films,Working Title Films,"London, United Kingdom",1983
Thirteen,2003,Antidote Films,Antidote Films,"New York, NY, United States",
Thirteen,2003,[1],,,
Twin Sisters,2002,NCRV Televisie,Nederlandse Christelijke Radio Vereniging,,1924
Whale Rider,2002,South Pacific Pictures,South Pacific Pictures,"Auckland, New Zealand",1988
Whale Rider,2002,Pandora Film,,,
Whale Rider,2002,New Zealand Film Commission,New Zealand Film Commission,,
Whale Rider,2002,NZ On Air,NZ On Air,"Wellington, New Zealand",
Million Dollar Baby,2004,Lakeshore Entertainment,Lakeshore Entertainment,"Beverly Hills, California, United States",1994
Million Dollar Baby,2004,Malpaso Productions,Malpaso Productions,"Burbank, California, United States",1967
Million Dollar Baby,2004,Ruddy Morgan Organization,Albert S. Ruddy,,
The Aviator,2004,Miramax Films,Miramax,"Los Angeles, California, U.S.",1979
The Aviator,2004,Warner Bros. Pictures,Warner Bros. Pictures,"4000 Warner Boulevard, Burbank, California, U.S.",1910
The Aviator,2004,[1],,,
The Aviator,2004,Appian Way Productions,Appian Way Productions,"West Hollywood, California, U.S.",2001
The Aviator,2004,IMF,Intermedia (company),"Los Angeles, California, U.S.",1991
The Aviator,2004,Initial Entertainment Group,GK Films,"Santa Monica, California, U.S.",1990
Ray,2004,Bristol Bay Productions,Bristol Bay Productions,"Beverly Hills, California, U.S.",1995
The Incredibles,2004,Pixar Animation Studios,Pixar,"1200 Park Avenue, Emeryville, California, U.S.",1986
The Incredibles,2004,[1],,,
Finding Neverland,2004,FilmColony,Richard N. Gladstein,,
Sideways,2004,Michael London Productions,Michael London Productions,,
Lemony Snicket's A Series of Unfortunate Events,2004,Nickelodeon Movies,Nickelodeon Movies,"Los Angeles, California, U.S.",1995
Lemony Snicket's A Series of Unfortunate Events,2004,Parkes,Walter F. Parkes,,
Lemony Snicket's A Series of Unfortunate Events,2004,MacDonald Productions,Laurie MacDonald,,
Spider-Man 2,2004,Columbia Pictures,Columbia Pictures,"Thalberg Building, 10202 West Washington Boulevard, Culver City, California, U.S.",1918
Spider-Man 2,2004,[1],,,
Spider-Man 2,2004,Marvel Enterprises,Marvel Entertainment,"1290 Avenue of the Americas, New York City, United States",1998
Spider-Man 2,2004,[1],,,
Spider-Man 2,2004,[2],,,
Eternal Sunshine of the Spotless Mind,2004,Anonymous Content,Anonymous Content,"Culver City, California",1999
Eternal Sunshine of the Spotless Mind,2004,This is that,This Is That Productions,"New York City, U.S.A.",2002
The Motorcycle Diaries,2004,FilmFour,Film4 Productions,"London, England, United Kingdom",1982
The Motorcycle Diaries,2004,BD Cine,,,
The Motorcycle Diaries,2004,"Wildwood Enterprises, Inc","Wildwood Enterprises, Inc","Provo, Utah, United States",1987
The Sea Inside,2004,Sogepaq,PRISA TV,"Avenida de los Artesanos, 6, 28760, Tres Cantos",1989
The Sea Inside,2004,UGC Images,UGC (cinema operator),"Neuilly-sur-Seine, France",1946
Mighty Times: The Children's March,2004,Southern Poverty Law Center,Southern Poverty Law Center,,1971
Ryan,2004,Copperheart Entertainment,Copperheart Entertainment,,
Wasp,2003,Film4,Film4,,
Wasp,2003,UK Film Council,UK Film Council,"London, England, UK",
Hotel Rwanda,2004,United Artists,United Artists,"Culver City, California, United States",1919
Hotel Rwanda,2004,Lions Gate Films,Lionsgate Films,"Santa Monica, California, U.S.",1962
Hotel Rwanda,2004,[1],,,
Hotel Rwanda,2004,[1],,,
Hotel Rwanda,2004,[2],,,
Hotel Rwanda,2004,[2],,,
Hotel Rwanda,2004,Endgame Entertainment,James D. Stern,,
Hotel Rwanda,2004,[3],,,
The Passion of the Christ,2004,Icon Productions,Icon Productions,"Sydney, AustraliaSanta Monica, California",1989
The Phantom of the Opera,2004,Really Useful Films,Really Useful Group,"London, EnglandSydney, Australia",1977
The Polar Express,2004,Castle Rock Entertainment,Castle Rock Entertainment,"Beverly Hills, California, U.S.[1]",1987
The Polar Express,2004,[1],,,
The Polar Express,2004,Shangri-La Entertainment,Shangri-La Entertainment,"Los Angeles, California, U.S.",2000
The Polar Express,2004,[2],,,
The Polar Express,2004,Playtone,Playtone,"Santa Monica, California, United States",1998
The Polar Express,2004,[1],,,
The Polar Express,2004,ImageMovers,ImageMovers,"Novato, California, U.S.",1984
The Polar Express,2004,[1],,,
The Polar Express,2004,Golden Mean Productions,Chris Van Allsburg,,
The Polar Express,2004,[1],,,
Vera Drake,2004,Thin Man Films,Thin Man Films,"Greek Street, London, United Kingdom",1988
A Very Long Engagement,2004,Warner Bros. France,Warner Bros. Pictures,"4000 Warner Boulevard, Burbank, California, U.S.",1910
A Very Long Engagement,2004,TF1 Films Production,TF1 Group,"TF1 Tower, Boulogne-Billancourt, France",1987
Closer,2004,Columbia Pictures,Columbia Pictures,"Thalberg Building, 10202 West Washington Boulevard, Culver City, California, U.S.",1918
Collateral,2004,Parkes,Walter F. Parkes,,
Collateral,2004,MacDonald Productions,Laurie MacDonald,,
Harry Potter and the Prisoner of Azkaban,2004,Warner Bros. Pictures,Warner Bros. Pictures,"4000 Warner Boulevard, Burbank, California, U.S.",1910
Harry Potter and the Prisoner of Azkaban,2004,[1],,,
Harry Potter and the Prisoner of Azkaban,2004,Heyday Films,Heyday Films,United Kingdom,1997
Harry Potter and the Prisoner of Azkaban,2004,[1],,,
Harry Potter and the Prisoner of Azkaban,2004,1492 Pictures,26th Street Pictures,"Beverly Hills, California, U.S.",1994
Harry Potter and the Prisoner of Azkaban,2004,[1],,,
Shrek 2,2004,DreamWorks Animation,DreamWorks Animation,"1000 Flower Street, Glendale, California 91201, U.S.",1994
Shrek 2,2004,[1],,,
Shrek 2,2004,PDI/DreamWorks,Pacific Data Images,"Redwood City, California, United States",1980
Shrek 2,2004,[1],,,
The Chorus,2004,Canal+,Canal+ (French TV channel),"50 rue Camille Desmoulins, 92130, Issy-les-Moulineaux, France",
The Chorus,2004,France 2 Cinéma,France 2,,
Before Sunset,2004,Castle Rock Entertainment,Castle Rock Entertainment,"Beverly Hills, California, U.S.[1]",1987
Being Julia,2004,Myriad Pictures,Myriad Pictures,"Santa Monica CA (USA), United States",1999
Downfall,2004,Constantin Film,Constantin Film,"Munich, Germany",1950
Downfall,2004,[1],,,
Gopher Broke,2004,Blur Studio,Blur Studio,"Culver City, California",1994
House of Flying Daggers,2004,Edko Films,Edko Films,"Mid-level, Macdonnell Rd, 21-2 12 Wan Building, Hong Kong[1]",1986
"I, Robot",2004,Davis Entertainment,Davis Entertainment,United States,1984
"I, Robot",2004,Overbrook Films,Overbrook Entertainment,"Culver City, California",1998
Kinsey,2004,American Zoetrope,American Zoetrope,"San Francisco, California, United States",1969
Kinsey,2004,Myriad Pictures,Myriad Pictures,"Santa Monica CA (USA), United States",1999
Lorenzo,2004,Walt Disney Feature Animation,Walt Disney Animation Studios,"2100 West Riverside Drive, Burbank, California, U.S.",1923
Maria Full of Grace,2004,HBO Films,HBO Films,"Los Angeles, United States",1983
Shark Tale,2004,DreamWorks Animation SKG,DreamWorks Animation,"1000 Flower Street, Glendale, California 91201, U.S.",1994
Shark Tale,2004,[1],,,
Sister Rose's Passion,2004,Storyville Films,Storyville Films,,
Super Size Me,2004,The Con,The Con,,
The Story of the Weeping Camel,2003,Mongolkina,Mongolkina,,
The Village,2004,Touchstone Pictures,Touchstone Pictures,"500 South Buena Vista Street, Burbank, California, U.S.",1984
The Village,2004,[1],,,
The Village,2004,Blinding Edge Pictures,Blinding Edge Pictures,"Berwyn, Pennsylvania, United States[1]",1998
The Village,2004,[2],,,
The Village,2004,Scott Rudin Productions,Scott Rudin,,
